,0
0,-37.993
1,-41.65800000000001
2,-46.625
3,-50.55799451796523
4,-52.085095694160344
5,-53.748583478274966
6,-55.37503205143174
7,-56.79101559475322
8,-57.82310828936202
9,-58.30212311917552
10,-58.156365532390524
11,-57.411633441483424
12,-56.09796356172524
13,-54.24539260838709
14,-51.88395729674009
15,-49.213
16,-44.722
17,-39.554
